repository,topic,review_status
fufankeji/deepseek-harness-plugin-image-skin,deepseek-harness,verified_plugin
fuhefei/dsh-sentinel,dsh-plugin,verified_plugin
gameswu/dsh-plugin-background,dsh-plugin,verified_plugin
gandufu/dsh-plugin,deepseek-harness|dsh-plugin,verified_plugin
gengdapeng/dsh-agent-message,deepseek-harness|dsh-plugin,verified_plugin
ghost011118/dsh-balance-meter,deepseek-harness|dsh-plugin,verified_plugin
giantgkl/dsh-cost,deepseek-harness|dsh-plugin,verified_plugin
ginuim/multi-screen-wireframe,dsh-plugin,rejected
git-hub-cloud/workled,dsh-plugin,rejected
glow-shimmering/dsh-launcher,deepseek-harness,related
gnulife/dsh-plugin-wechat,deepseek-harness|dsh-plugin,verified_plugin
goalfyai/goalfydata,deepseek-harness|dsh-plugin,rejected
gooodwei/context-vista,dsh-plugin,verified_plugin
GooodWei/dsh-command-context,dsh-plugin,verified_plugin
gordonlu/dsh-context-lens,dsh-plugin,verified_plugin
gordonynh/dsh-plugin-codex-import,deepseek-harness|dsh-plugin,verified_plugin
goyacj/deepseek-harness-desktop,deepseek-harness,rejected
greatwhitesharklab/dsh-plugin-subagent-manager,dsh-plugin,verified_plugin
green-dalii/dsh-plugin-dev-skill,deepseek-harness|dsh-plugin,verified_skill
green-dalii/dsh-shift-router,deepseek-harness|dsh-plugin,verified_plugin
gtc2080/deepseek-harness-desktop,deepseek-harness,rejected
gu-zt/dsh-auxiliary,dsh-plugin,verified_plugin
gxinxing/deepseek-harness-tui,dsh-plugin,verified_plugin
gxpppp/dsh-search-mcp,dsh-plugin,verified_plugin
h1a3x/dsh-prompt-inject,deepseek-harness|dsh-plugin,verified_plugin
h1a3x/dsh-token-stats,deepseek-harness|dsh-plugin,verified_plugin
h565656445/dsh-agent-os-observability,deepseek-harness,watchlist
h565656445/dsh-agent-os-planning,deepseek-harness,watchlist
h565656445/dsh-agent-os-runtime,deepseek-harness,verified_skill
h565656445/dsh-agent-os-scheduler,deepseek-harness,verified_skill
h565656445/dsh-agent-os-specs,deepseek-harness,verified_skill
